,Closing Price (Yen),discount_rate
966,295.18,5.84
967,304.02,5.84
968,314.52000000000004,5.84
969,319.43,5.84
970,317.6,5.84
971,315.5,5.84
972,313.87,5.84
973,320.3,5.84
974,318.3299999999999,5.84
975,316.49,5.84
976,316.45,5.84
977,320.0400000000001,5.84
978,333.6499999999999,5.84
979,355.03,5.84
980,349.85,5.84
981,353.66,5.84
982,345.12,5.84
983,339.66,5.84
984,335.97,5.84
985,335.7200000000001,5.84
986,334.89,5.84
987,340.32,5.84
988,338.25,5.84
989,342.19,5.84
990,339.37,5.84
991,345.29,5.84
992,348.32,5.84
993,355.94000000000005,5.84
994,366.69,5.84
995,365.49,5.84
996,364.13,5.84
997,362.0299999999999,5.84
998,359.56,5.84
999,361.7,5.84
1000,360.08,5.84
1001,359.62,5.84
1002,357.51,5.84
1003,351.18,5.84
1004,349.43,5.84
1005,349.53,5.84
1006,350.88,5.84
1007,350.1499999999999,5.84
1008,348.8,5.84
1009,348.19,5.84
1010,345.46,5.84
1011,337.7,5.84
1012,335.63,5.84
1013,335.05,5.84
1014,333.59,5.84
1015,331.13,5.84
1016,329.34,5.84
1017,323.64,5.84
1018,321.79,5.84
1019,327.99,5.84
1020,324.15,5.84
1021,327.07,5.84
1022,335.34,5.84
1023,338.92,5.84
1024,341.1,5.84
1025,343.36,5.84
1026,347.86,5.84
1027,354.31999999999994,5.84
1028,350.35,5.84
1029,345.36,5.84
1030,343.59,5.84
1031,344.3,5.84
1032,346.79,5.84
1033,348.86,5.84
1034,348.78,5.84
1035,345.59,5.84
1036,344.8,5.84
1037,341.48,5.84
1038,340.05,5.84
1039,343.45,5.84
1040,344.41,5.84
1041,346.27,5.84
1042,347.76,5.84
1043,349.2,5.84
1044,348.2,5.84
1045,347.32,5.84
1046,346.87000000000006,5.84
1047,345.21,5.84
1048,345.57,5.84
1049,348.08,5.84
1050,348.64,5.84
1051,350.75,5.84
1052,355.02,5.84
1053,356.75,5.84
1054,364.07,5.84
1055,365.46000000000004,5.84
1056,361.83,5.84
1057,363.43,5.84
1058,360.41,5.84
1059,359.14,5.84
1060,356.87,5.84
1061,359.45,5.84
1062,361.38999999999993,5.84
1063,363.01000000000005,5.84
1064,367.1,5.84
1065,371.46,5.84
1066,380.59999999999997,5.84
1067,381.32,5.84
1068,386.13000000000005,5.84
1069,392.36,5.84
1070,397.0799999999999,5.84
1071,393.96999999999997,5.84
1072,400.31,5.84
1073,401.07,5.84
1074,400.88,5.84
1075,398.88,5.84
1076,390.44,5.84
1077,390.96,5.84
1078,397.18999999999994,5.84
1079,394.23,5.84
1080,391.7099999999999,5.84
1081,392.1099999999999,5.84
1082,393.57999999999987,5.84
1083,397.13,5.84
1084,404.80999999999995,5.84
1085,405.57,5.84
1086,403.89,5.84
1087,408.58,5.84
1088,416.05,5.84
1089,412.3999999999999,5.84
1090,415.14999999999986,5.84
1091,413.13999999999993,5.84
1092,415.9,5.84
1093,413.59,5.84
1094,409.47,5.84
1095,406.94,5.84
1096,414.4199999999999,5.84
1097,418.05,5.84
1098,425.58,5.84
1099,425.94,5.84
1100,433.3799999999999,5.84
1101,435.23,5.84
1102,431.80999999999995,5.84
1103,433.92,5.84
1104,436.98999999999995,5.84
1105,437.67,5.84
1106,432.41,5.84
1107,429.97999999999996,5.84
1108,416.6499999999999,5.84
1109,420.4800000000001,5.84
1110,420.98999999999995,5.84
1111,423.88999999999993,5.84
1112,426.68,5.84
1113,428.96999999999997,5.84
1114,432.9199999999999,5.84
1115,429.5,5.84
1116,435.73,5.84
1117,442.02,5.84
1118,448.7699999999999,5.84
1119,450.8699999999999,5.84
1120,448.74999999999994,5.84
1121,449.01,5.84
1122,448.63999999999993,5.84
1123,442.53999999999996,5.84
1124,444.0899999999999,5.84
1125,442.1599999999999,5.84
1126,439.03,5.84
1127,442.49,5.84
1128,443.5,5.84
1129,440.19,5.84
1130,439.78999999999996,5.84
1131,442.05,5.84
1132,439.94999999999993,5.84
1133,432.5399999999999,5.84
1134,431.94,5.84
1135,429.04,5.84
1136,421.11999999999995,5.84
1137,424.92999999999995,5.84
1138,429.01999999999987,5.84
1139,431.2,5.84
1140,431.97,5.84
1141,424.49,5.84
1142,424.3299999999999,5.84
1143,429.12999999999994,5.84
1144,427.53999999999996,5.84
1145,427.67999999999995,5.84
1146,434.79,5.84
1147,440.19,5.84
1148,438.9799999999999,5.84
1149,436.60999999999996,5.84
1150,433.25999999999993,5.84
1151,433.0899999999999,5.84
1152,429.5699999999999,5.84
1153,429.17,5.84
1154,428.73999999999995,5.84
1155,432.24999999999994,5.84
1156,432.05,5.84
1157,431.00999999999993,5.84
1158,421.97999999999996,5.84
1159,423.36,5.84
1160,418.26,5.84
1161,419.06999999999994,5.84
1162,418.84999999999997,5.84
1163,417.78999999999996,5.84
1164,414.12,5.84
1165,407.43999999999994,5.84
1166,414.48999999999995,5.84
1167,420.39,5.84
1168,423.93000000000006,5.84
1169,423.06,5.84
1170,420.90999999999997,5.84
1171,421.74,5.84
1172,420.35,5.84
1173,420.1399999999999,5.84
1174,418.35999999999996,5.84
1175,415.66,5.84
1176,415.85999999999996,5.84
1177,417.8299999999999,5.84
1178,417.55,5.84
1179,417.72,5.84
1180,419.99999999999994,5.84
1181,420.6499999999999,5.84
1182,417.6799999999999,5.84
1183,415.44,5.84
1184,410.94,5.84
1185,407.9,5.84
1186,407.0,5.84
1187,402.1499999999999,5.84
1188,403.0,5.84
1189,405.22999999999996,5.84
